"","chlorides","sulphates","nitrates","phosphates","ammonium","calcium","LCBDall","LCBDrepl","LCBDnest","Beta.sorensenall","Beta.sorensen.turn","Beta.sorensen.nest","TaxaS","Dominance_D","Simpson_1.D","Shannon_H"
"K41 WP1",1.346909303,0.075153925,-1.280717462,-0.217577812,1.609498645,-0.705750591,0.37188947,0.533953706,-0.337539101,0.236097042,0.477528789,-0.318007786,-0.794987262,-0.70372079,-0.703708932,-0.478223992
"WS1 WP1",-1.148111815,-1.361602937,-0.56045733,-0.838041283,-0.691658238,-1.317361707,-2.031573546,-2.042283905,0.244436498,-1.266945062,-1.747493869,0.631940844,-0.512636622,-0.874510305,-0.874498384,-0.615043514
"WB1 WP1",-1.16854039,-1.354554571,-1.026649569,-0.217577812,-0.527810042,-1.339433967,0.061800783,0.527906116,-0.859242462,-0.319541248,0.421703848,-0.977693599,0.616765936,-0.94019858,-0.940186634,-0.920114069
"BW11 WK1",1.677848088,0.951385492,-0.646063426,0.540766429,-0.079958307,0.191184237,1.135722334,1.047339491,0.035933454,0.355547304,-0.733872433,1.436785023,2.028519135,-0.936771366,-0.936759421,-0.389476195
"BW21 WK1",1.676998624,0.95284129,-0.644000629,-0.769100898,-0.042333906,0.192505376,1.851317612,1.911330199,-0.314648967,0.904722631,-0.21470048,1.477049349,1.887343815,-0.428401237,-0.428389481,-1.069875977
"BW31 WK1",1.677868806,0.951226941,-0.645719627,-0.493339355,-0.02048748,0.169919808,1.488939276,1.528187881,-0.236569125,0.550986507,-0.21470048,1.010216511,1.604993175,-0.808250827,-0.808238931,-0.663115238
"BW41 WK1",1.679401985,0.954484468,-0.650876621,0.196064501,-0.146711275,0.178435678,2.002720314,2.39802805,-0.944585755,1.101697798,1.34281538,-0.316479416,-0.230285983,0.545498841,0.545510235,-0.226771899
"O11 WK1",0.194248663,-0.502408525,-0.201186763,2.471097226,0.381244022,-0.77890124,1.486874958,1.551270723,-0.282329204,0.839635187,0.304471474,0.706658462,1.746168495,-0.901356817,-0.901344886,-0.332159909
"O21 WK1",0.209456143,-0.484304745,-0.337675199,1.712752984,0.075394057,-0.786104387,1.445358185,1.432062587,-0.135654084,0.5792854,-0.733872433,1.732056789,2.310869774,-0.951622628,-0.951610678,-0.653870675
"O31 WK1",0.190436434,-0.472773676,-0.164400207,1.368051057,0.496544604,-0.814210123,1.459099821,1.756827113,-0.705966327,1.101697798,1.34281538,-0.316479416,-0.230285983,-0.998461224,-0.998449257,-1.212242236
"O41 WK1",0.210885728,-0.480989563,-0.257226095,0.609706814,0.417654732,-0.816532633,2.621338884,2.920886611,-0.837929301,1.869812361,2.421095588,-0.72442348,-1.218513222,-0.874510305,-0.874498384,-0.931207543
"K11 WK1",1.347862359,0.114820805,-0.866782761,1.78169337,0.37274819,-0.73907356,1.474856758,1.421621955,-0.065879019,0.911797354,0.304471474,0.801892359,1.181467216,-0.68944073,-0.689428877,-0.130628451
"K21 WK1",1.349954942,0.125732079,-0.86747036,1.436991442,0.634905303,-0.716100908,2.199507242,2.390487721,-0.59269676,1.457209103,1.34281538,0.152696165,0.475590616,-0.875081507,-0.875069586,-0.977430355
"K31 WK1",1.344319473,0.122474552,-0.901850319,1.505931827,0.647042207,-0.704572506,1.670070708,1.643675288,-0.136568059,1.141404255,0.823643427,0.42041566,2.169694454,-0.747132171,-0.747120298,0.057960619
"K41 WK1",1.33143248,0.087319204,-1.123257251,1.161229899,0.734427911,-0.710345122,1.617929742,1.805927999,-0.522875337,0.839635187,0.823643427,0.022164814,0.475590616,-1.057866273,-1.057854283,-0.790690197
"WS1 WK1",-1.163588636,-1.350360144,-0.71791754,1.78169337,-0.595776702,-1.312767176,0.315495652,0.505895009,-0.383116174,0.121914156,0.304471474,-0.240532743,0.193239977,-0.887076757,-0.887064832,-0.653870675
"WB1 WK1",-1.184017213,-1.35740851,-1.184109778,1.161229899,-0.759624897,-1.334839435,0.933316251,0.804325058,0.132598884,0.009770241,-1.253044386,1.664949569,3.016746373,-0.821388482,-0.821376581,0.250247514
"WP1 WK1",-1.240102563,-1.349898901,-1.184109778,2.057454912,-0.206182102,-1.340898158,0.133823323,-0.188302555,0.574285025,-0.431647281,-1.772216339,1.766895435,1.040291896,-0.655739789,-0.655727949,-0.049276303
"BW11 BW12",-1.237367702,-1.303774622,-1.260089487,0.816527971,-1.072757005,-0.311109028,-1.658595238,-1.263834718,-0.538359457,-1.185797905,-0.868472571,-0.41989863,-0.512636622,-1.071003928,-1.070991933,-0.982977092
"BW21 BW12",-1.236518237,-1.30523042,-1.258026689,2.126395298,-1.052124269,-0.30978789,-0.902169942,-0.423235593,-0.776013919,-1.19487242,-1.176130025,-0.0262486,-0.653811942,-0.632320491,-0.632308659,-0.775898897
"BW31 BW12",-1.237388421,-1.303616071,-1.259745687,1.850633755,-1.030277843,-0.332373458,-1.298361482,-0.77725917,-0.80928018,-0.790976636,-0.253157664,-0.710096612,-0.936162582,-1.012170081,-1.012158109,-1.182659637
"BW41 BW12",-1.2389216,-1.306873598,-1.26490268,1.161229899,-1.006004036,-0.323857589,-0.589978114,-0.605867132,0.094354813,-0.582990431,-0.309095377,-0.36186279,0.052064657,0.341579587,0.341591057,0.366728999
"O11 BW12",0.246231723,1.869330705,0.412839298,-1.113802826,1.391034385,-0.276607975,-1.43429627,-0.865189126,-0.882025357,-1.472131452,-0.868472571,-0.797778901,-0.794987262,-0.697437563,-0.697425708,-0.925660806
"O21 BW12",0.231024244,1.887434484,0.276350862,-0.355458584,1.085184419,-0.283811121,-1.278290033,-0.834751313,-0.669655144,-0.927174055,-0.868472571,-0.078587416,-0.230285983,-1.056152665,-1.056140677,-1.191904199
"O31 BW12",0.250043952,1.898965553,0.449625853,-0.010756656,1.506334967,-0.311916857,-0.024979916,0.220676196,-0.44648542,-0.24427005,0.068484221,-0.412660093,0.052064657,-1.009314069,-1.009302098,-0.633532638
"O41 BW12",0.229594657,1.890749666,0.356799964,0.747587586,1.427445095,-0.314239368,1.281079964,1.175447097,0.051392078,1.669500132,1.143133856,0.696127795,1.040291896,-1.078429559,-1.078417562,-0.337706646
"K11 BW12",-0.907381974,-0.467209935,-1.202331157,-0.42439897,1.382538553,-1.241366825,0.339543793,0.687125217,-0.673228641,-0.208615267,0.362157242,-0.752794077,-1.359688541,-0.485521476,-0.485509699,-0.724129349
"K21 BW12",-0.909474557,-0.478121209,-1.201643558,-0.079697042,1.644695666,-1.218394172,-0.377899756,0.094186321,-0.821514899,-0.451265844,0.362157242,-1.073025022,-0.653811942,-1.079000761,-1.078988764,-0.86834452
"K31 BW12",-0.903839087,-0.474863682,-1.167263598,-0.148637427,1.656832569,-1.206865772,-0.381227825,-0.020290712,-0.617879953,-0.367441095,0.362157242,-0.962399787,-0.371461303,-0.543212918,-0.543201119,-0.535540278
"K41 BW12",-0.890952095,-0.439708334,-0.945856665,0.196064501,1.744218274,-1.212638387,-0.582006356,-0.145516793,-0.733826822,-1.047900766,-0.560815118,-0.643538815,-0.653811942,-0.853947019,-0.853935105,-1.055084678
"WS1 BW12",1.604069022,0.997971014,-0.10389148,-0.42439897,-0.556938611,-0.810473912,-0.61651752,-0.240759999,-0.618941874,-1.027560942,-0.956374696,-0.095176957,-0.371461303,-0.683157504,-0.683145653,-1.191904199
"WB1 BW12",1.624497598,1.00501938,-0.570083718,0.196064501,-0.393090414,-0.83254617,-0.136928197,0.213907059,-0.626444407,-0.060557295,0.362157242,-0.557398925,0.475590616,-0.617469229,-0.617457403,-0.343253383
"WP1 BW12",1.711536591,0.997509771,-0.885004138,-0.700160512,-0.94653321,-0.838604892,-0.506070371,-0.227787122,-0.45290725,-0.9917909,-0.560815118,-0.569489471,-1.218513222,-0.451820535,-0.451808771,-0.642777201
"WK1 BW12",1.696059769,1.00967505,-0.727543929,2.471097226,-0.071462475,-0.843199423,0.962840667,1.018082538,-0.207589913,0.68524171,0.304471474,0.502902215,1.181467216,-0.90192802,-0.901916088,-0.626136989
"BW11 BW22",-1.24909445,-1.31601197,-1.20714435,0.816527971,-1.018140939,-0.316730175,-1.210194238,-0.951522823,-0.339110846,-0.582990431,-0.560815118,-0.029987086,-0.089110663,-1.029877355,-1.029865376,-0.872042345
"BW21 BW22",-1.248244986,-1.317467769,-1.205081553,2.126395298,-0.980516539,-0.315409038,-0.054379816,0.295974066,-0.634700337,0.220752856,0.131414159,0.118071267,-0.230285983,-0.673447063,-0.673435216,-0.886833644
"BW31 BW22",-1.249115169,-1.315853418,-1.206800551,1.850633755,-0.958670113,-0.337994606,-1.462356949,-1.061311373,-0.571572598,-0.758623231,-0.560815118,-0.261773293,-0.512636622,-1.053296654,-1.053284666,-1.145681388
"BW41 BW22",-1.250648349,-1.319110945,-1.211957545,1.161229899,-1.077611766,-0.329478736,-0.474647727,-0.360959886,-0.155376797,0.19017566,0.823643427,-0.83494028,-0.371461303,0.300453015,0.3004645,0.255794251
"O11 BW22",0.234504974,1.857093357,0.359894161,-1.113802826,1.319426655,-0.270986828,-1.035603518,-0.602535923,-0.677365769,-0.538253781,-0.21470048,-0.4272763,-0.371461303,-0.656310991,-0.656299151,-0.814726059
"O21 BW22",0.219297495,1.875197136,0.223405725,-0.355458584,1.013576689,-0.278189974,-1.664143249,-1.345055478,-0.399356884,-0.904487755,-1.253044386,0.458384489,0.193239977,-1.015026093,-1.01501412,-1.136436826
"O31 BW22",0.238317203,1.886728206,0.396680717,-0.010756656,1.434727237,-0.30629571,0.456016539,0.794541437,-0.669557202,0.911797354,1.578802632,-0.878228414,-0.371461303,-0.968187497,-0.968175541,-0.744467386
"O41 BW22",0.217867908,1.878512318,0.303854828,0.747587586,1.355837364,-0.308618221,0.75342821,0.673473463,0.062831754,1.91621674,1.782114722,0.179271045,0.616765936,-1.092138416,-1.092126414,-0.448641393
